id,positClean,companyClean,dateClean,skills,education,language,dateCollect,country,cityClean,stateClean,url
JD_2731969102,Data Scientist,TalentSphere Staffing Solutions,2018-04-12, correlation median algorithm model model regression regression sas r python, master phd master,,2018-04-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=58811&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5c3a7d28&cb=1524597911381&jobListingId=2731969102
JD_2738206519,Data Scientist,Mobify,2018-04-19, perl reference data model python r data set database model regression,,,2018-04-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=148364&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_72e5c2fb&cb=1524597911383&jobListingId=2738206519
JD_2735605326,Data Scientist,BioConnect,2018-04-17, model database sql cassandra hadoop misture model model feature model median model value java scala sql shell sql server nosql python hadoop pig spark algorithm regression clustering sql value value, phd master phd,,2018-04-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=66506&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d6e3da8e&cb=1524597911385&jobListingId=2735605326
JD_2745456067,Data Scientist,EasyMarkit,2018-04-24, model algorithm machine learning clustering classification unstructured data algorithm python r value, phd master,,2018-04-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=46442&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ab478cd5&cb=1524597911387&jobListingId=2745456067
JD_2740352576,Data Scientist,CGI,2018-04-21, algorithm model mathematica econometrics java python r sql database hadoop data set database sas excel query model visualization value, master,,2018-04-24,canada,Regina,SK,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=133286&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_806c39ed&cb=1524597911388&jobListingId=2740352576
JD_2705207564,Senior Data Scientist,Wawanesa Insurance,2018-04-23, mathematica model mathematica,,,2018-04-24,canada,Winnipeg,MB,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=257914&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9485535b&cb=1524597911389&jobListingId=2705207564
JD_2732147547,Data Scientist,Thalmic Labs,2018-04-13, algorithm value visualization model model model algorithm model algorithm econometrics python nosql database spark, phd,,2018-04-24,canada,Kitchener,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=4341&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_412765f3&cb=1524597911390&jobListingId=2732147547
JD_2733853314,Senior Consultant Data Scientist,Sun Life Financial,2018-04-14, unstructured data data set data set model model significar algorithm unstructured data data set database python r scala visualization spark nosql value, phd,,2018-04-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=242349&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_885c683e&cb=1524597911392&jobListingId=2733853314
JD_2738828296,Data Scientist,Andiamo Partners,2018-04-19, median volume algorithm model mathematica model python java regression pandas visualization, phd,,2018-04-24,canada,Waterloo,NS,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=102921&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_4b1231b9&cb=1524597911393&jobListingId=2738828296
NI,NI,NI,2018-04-24,,,,2018-04-24,canada,NI,NI,https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=133111&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d21a0ed9&cb=1524597911394&jobListingId=2735248906
JD_2572394867,Data Scientist,Unata,2018-04-13, value algorithm algorithm scala python pandas spark elasticsearch hadoop algorithm mathematica econometrics,,,2018-04-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=4120&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4d6334dc&cb=1524597911395&jobListingId=2572394867
JD_2729571275,Data Scientist,NI,2018-04-11, median significar volume python r significar correlation algorithm correlation significar server mean classification, master phd, english,2018-04-24,canada,NI,NI,https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=4120&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2606701b&cb=1524597911397&jobListingId=2729571275
JD_2636642215,Data Scientist,BOEING,2018-04-08, mathematica mathematica value machine learning machine learning hadoop spark cassandra pig hive mathematica visualization tableau database sql nosql java python r, master phd master,,2018-04-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=133200&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_406d5b43&cb=1524597911399&jobListingId=2636642215
JD_2363793138,Data Scientist,Wish,2018-04-23, algorithm algorithm feature algorithm hadoop spark mapreduce,,,2018-04-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=136208&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5bdfc316&cb=1524597911400&jobListingId=2363793138
JD_2687057739,Data Scientist,lululemon,2018-04-07, value model java r algorithm algorithm excel classification aws,,,2018-04-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=102921&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_240793ec&cb=1524597911401&jobListingId=2687057739
JD_2705186845,Data Scientist,GALE Partners,2018-04-23, value value data set hadoop sql database sql server scripting python r sas aws hadoop spark mapreduce hive algorithm data set clustering algorithm visualization scala spark python model model data set model, master,,2018-04-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=14295&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_fcddf08a&cb=1524597911402&jobListingId=2705186845
JD_2725246380,Data Scientist,Logojoy,2018-04-06, algorithm model machine learning unstructured data python database,,,2018-04-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=14295&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_a667c761&cb=1524597911403&jobListingId=2725246380
JD_2704123221,Data Scientist,MindGeek,2018-04-22, volume mathematica algorithm algorithm mathematica algorithm clustering regression r java python database kafka median median median median, phd, german,2018-04-24,canada,Montreal,QC,https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=333098&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9eb28ebe&cb=1524597911405&jobListingId=2704123221
JD_2733032680,Data Scientist,Shutterstock,2018-04-13, feature python java query classification vector median median correlation feature median, phd,,2018-04-24,canada,Montreal,QC,https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=135887&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_82faa12b&cb=1524597911406&jobListingId=2733032680
JD_2576570396,Data Scientist,Splunk,2018-04-19, feature r stata weka matlab java scala data set sql hadoop mapreduce pig hive algorithm value,,,2018-04-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=4128&s=58&guid=00000162f91ded69a0a6bcc9bdf1b62a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8edcfd14&cb=1524597911407&jobListingId=2576570396
JD_2696203488,Data Scientist,Recruitics,2018-04-17, algorithm model python model mathematica, phd,,2018-04-24,canada,East York,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=102921&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e2332ac8&cb=1524598112506&jobListingId=2696203488
JD_2734841143,Data Scientist,eXplorance,2018-03-25, feature visualization python r sql value, master,,2018-04-24,canada,Montreal,QC,https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=85058&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_047acbd3&cb=1524598112507&jobListingId=2734841143
JD_2722072851,Senior Data Analyst,Fullscript,2018-04-04, value visualization dashboard sql dashboard r hue feature feature hue, bachelor,,2018-04-24,canada,Ottawa,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=335592&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_97caf9ad&cb=1524598112509&jobListingId=2722072851
JD_2733743035,Data Scientist Intern,Local Logic,2018-04-14, mathematica python data set value python pandas algorithm, master phd, english french,2018-04-24,canada,Montreal,QC,https://www.glassdoor.com/partner/jobListing.htm?pos=204&ao=93842&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_76b73a21&cb=1524598112511&jobListingId=2733743035
JD_2599797198,Data Scientist,INgrooves Music Group,2018-04-18, coefficient model mathematica econometrics python scala java r sql pandas hadoop hive spark visualization clustering algorithm model model algorithm data set,,,2018-04-24,canada,Victoria,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=4120&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6280b0d6&cb=1524598112512&jobListingId=2599797198
JD_2729579457,Data Scientist,Loblaw Digital,2018-04-11, hana mean significar hadoop mapreduce hive hbase sqoop mapreduce hive hbase sqoop hadoop mapreduce hive hbase java sql model value shell,,,2018-04-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=289343&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3f364e3f&cb=1524598112514&jobListingId=2729579457
JD_2697684222,Data Scientist,Eidos Montreal,2018-04-17, classification visualization python algorithm classification model model model python matrix algorithm, phd phd, english french,2018-04-24,canada,Montreal,QC,https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=4128&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_adb79e17&cb=1524598112515&jobListingId=2697684222
JD_2687577509,Data Scientist,ZetaTango,2018-04-07, mathematica cloud cloud algorithm python algorithm value value excel server, phd,,2018-04-24,canada,Ottawa,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=208&ao=66506&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a160836b&cb=1524598112517&jobListingId=2687577509
JD_2726690301,Data Scientist,Robots and Pencils,2018-04-07, regression clustering data set model algorithm correlation r python pandas query sql spark hive cloud azure aws mathematica,,,2018-04-24,canada,Calgary,AB,https://www.glassdoor.com/partner/jobListing.htm?pos=209&ao=78823&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_630428f2&cb=1524598112524&jobListingId=2726690301
JD_2694978653,Data Scientist,Maropost,2018-04-15, sas model algorithm feature algorithm feature model algorithm, master,,2018-04-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=210&ao=66506&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0e687c27&cb=1524598112526&jobListingId=2694978653
JD_2436698785,Data Scientist,Blueocean Market Intelligence,2018-03-28, econometrics sql python java econometrics sql python java hadoop hive, bachelor bachelor,,2018-04-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=211&ao=4341&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_7bfcd252&cb=1524598112527&jobListingId=2436698785
JD_2610484075,Data Scientist,First Derivatives,2018-04-02, correlation unstructured data database hadoop hana cloud mathematica java,,,2018-04-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=212&ao=135979&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e648c09d&cb=1524598112529&jobListingId=2610484075
JD_2730967713,Senior Data Scientist,Shopify,2018-04-12, storage model model python regression tableau mode visualization,,,2018-04-24,canada,Ottawa,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=213&ao=148364&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_22054e4a&cb=1524598112530&jobListingId=2730967713
JD_2733645999,Data Scientist,Liquor Barn,2018-04-14, excel model value transactional data median median visualization data set classification median model model algorithm algorithm r python sas spss mathematica excel sql visualization tableau spss model value mathematica, phd,,2018-04-24,canada,Edmonton,AB,https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=4120&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_da4421e6&cb=1524598112532&jobListingId=2733645999
JD_2666041447,Data Scientist,Star Media Group,2018-04-14, median median median algorithm model econometrics python hadoop mapreduce sas algorithm scala java algorithm hadoop hadoop median,,,2018-04-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=215&ao=52448&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_73eabb0d&cb=1524598112533&jobListingId=2666041447
JD_2704899544,Scientist I,Fluidigm,2018-04-23,,,,2018-04-24,canada,Markham,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=333141&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2324d49b&cb=1524598112534&jobListingId=2704899544
JD_2725660494,Data Scientist,NTT DATA,2018-04-06, database visualization hadoop visualization model unstructured data sql cloud aws,,,2018-04-24,canada,Montreal,QC,https://www.glassdoor.com/partner/jobListing.htm?pos=217&ao=133983&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_05b5774e&cb=1524598112535&jobListingId=2725660494
JD_2733513725,Sr Data Scientist,Ceridian,2018-04-13, cloud cloud value cloud value perceptron model feature r model algorithm regression model model algorithm r r sql server regression algorithm r visualization sql query database sql server aws,,,2018-04-24,canada,Ottawa,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=218&ao=4120&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c09df3bf&cb=1524598112537&jobListingId=2733513725
JD_2617468270,Data Scientist Advanced Analytics,IBM,2018-04-11,,,,2018-04-24,canada,Calgary,AB,https://www.glassdoor.com/partner/jobListing.htm?pos=219&ao=140152&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7f0c6069&cb=1524598112538&jobListingId=2617468270
JD_2632935572,Junior Data Scientist Advanced Analytics,IBM,2018-04-05,,,,2018-04-24,canada,Calgary,AB,https://www.glassdoor.com/partner/jobListing.htm?pos=220&ao=140152&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5e8f2b85&cb=1524598112540&jobListingId=2632935572
JD_2651494430,Data Scientist,Investment Industry Regulatory Organization of Canada,2018-03-29, visualization model model model algorithm data set database mapreduce hive hbase sqoop spark java python hadoop mapreduce spark hive hbase unstructured data, phd,,2018-04-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=3949&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_49e99d20&cb=1524598112541&jobListingId=2651494430
JD_2738135352,Data Scientist Intern,Thomson Reuters,2018-04-18, median visualization significar mathematica scripting python r java scala nosql visualization hadoop hive nosql spark shark hive mahout impala hbase pig cascading tableau classification, phd master,,2018-04-24,canada,Kitchener,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=222&ao=186496&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2a1a9e3f&cb=1524598112542&jobListingId=2738135352
JD_2725164810,Junior Data Scientist,NI,2018-04-05, model database cloud algorithm classification classification algorithm python feature python cloud database model python r julia nosql database cloud aws cloud elasticsearch classification value pig,, english,2018-04-24,canada,NI,NI,https://www.glassdoor.com/partner/jobListing.htm?pos=223&ao=4120&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b3da72f7&cb=1524598112545&jobListingId=2725164810
JD_2729609015,Data Visualization Business Intelligence Analyst,Western Financial Group,2018-04-11, value visualization server sql database unstructured data model visualization mathematica visualization spotfire tableau dashboard,,,2018-04-24,canada,High River,AB,https://www.glassdoor.com/partner/jobListing.htm?pos=224&ao=296864&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bfded681&cb=1524598112546&jobListingId=2729609015
JD_2720754595,Machine Learning Engineer,DeepLearni ng,2018-04-03, deep learning deep learning correlation vector classification value data set algorithm deep learning deep learning deep learning data set data set python spark nosql database cassandra algorithm model vector deep learning storage database value,,,2018-04-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=225&ao=329255&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0cd1b5c3&cb=1524598112548&jobListingId=2720754595
JD_1128378493,Data Scientist,NI,2018-03-27,,,,2018-04-24,canada,NI,NI,https://www.glassdoor.com/partner/jobListing.htm?pos=226&ao=4120&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_35b37ae7&cb=1524598112548&jobListingId=1128378493
JD_2736540295,Quantitative Researcher,Vigilant   a DRW Company,2018-04-17, python matlab python visualization mathematica mean, phd,,2018-04-24,canada,Montreal,QC,https://www.glassdoor.com/partner/jobListing.htm?pos=227&ao=241307&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5c18a2de&cb=1524598112550&jobListingId=2736540295
JD_2719503106,Junior Data Scientist Ottawa ON or US Remote,Trend Micro,2018-04-02, server cloud model database cloud algorithm classification classification algorithm python feature python cloud database model python r julia nosql database cloud aws cloud elasticsearch classification value pig,, english,2018-04-24,canada,Ottawa,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=228&ao=4008&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2859696f&cb=1524598112551&jobListingId=2719503106
JD_2629985549,Associate Data Scientist,PointClickCare,2018-04-01, correlation visualization model model database algorithm visualization mathematica econometrics algorithm sas sql server spss r sas r,,,2018-04-24,canada,Mississauga,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=229&ao=268514&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cc8ac0e8&cb=1524598112553&jobListingId=2629985549
JD_2708878093,Lead Data Scientist,Talentlab,2018-03-29, mode hue machine learning algorithm clustering classification visualization mathematica tableau database nosql hadoop r python sql java volume,,,2018-04-24,canada,Ottawa,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=230&ao=4345&s=58&guid=00000162f920fe80b4f46844039a12ec&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5e256969&cb=1524598112554&jobListingId=2708878093
