,predRecom,title
323,Yes,sales engineer
324,Yes,growth opportunities limited
325,Yes,dell good compay start company
326,Yes,bad place
327,Yes,great company
328,Yes,employment
329,Yes,product marketing manager
330,Yes,product marketing manager
331,Yes,selling us ntt data
332,No,nasty offices ok job security
333,Yes,technical leadmanager
334,Yes,definitely much better
335,Yes,senior product manager
336,Yes,services personnel
337,Yes,overall good
338,Yes,inside sales rep iii
339,Yes,awesome place work
340,Yes,overall great company
341,Yes,dell
342,Yes,good work life balance
343,Yes,company lifestyle
344,No,poor people management
345,Yes,ok
346,Yes,proposal manager
347,Yes,client technical support
348,Yes,nice
349,Yes,test engineer
350,No,great people crappy management
351,Yes,ok
352,Yes,consultant
353,Yes,resolution expert
354,Yes,project manager
355,Yes,dell review
356,No,dell went private
357,Yes,odi senior developer
358,Yes,assembly worker
359,Yes,consumer inside sales rep
360,Yes,consumer inside sales rep
361,Yes,platform software principal engineer
362,Yes,bad
363,Yes,great internship
364,Yes,great place work
365,Yes,senior technical advisor
366,Yes,good place work
367,Yes,experience dell
368,Yes,dell review
369,Yes,great company
370,Yes,plaftform engineer
371,Yes,euc technical sales specialist
372,Yes,net senior developer
373,No,buyer beware
374,Yes,tech support
375,Yes,account manager
376,Yes,good
377,Yes,great company
378,Yes,tech support
379,Yes,technical analysis advisor
380,Yes,technical analysis advisor
381,Yes,good place work
382,Yes,interesting place work
383,Yes,nice career
384,No,former employee
385,Yes,flexibile work environment
386,Yes,project management ii
387,Yes,project manager
388,Yes,first job college
389,Yes,ready adapt
390,Yes,software dev analyst
391,Yes,review
392,Yes,enterprise firmware test engineer
393,Yes,hit miss
394,Yes,good company
395,Yes,good company
396,Yes,experience
397,Yes,experience
398,Yes,decent place work
399,Yes,sales
400,No,projectprogram management advisor
401,Yes,admin
402,Yes,overall good experience
403,Yes,great place work
404,No,plan acquisition
405,Yes,ccc
406,Yes,great worklife options leadership needs work
407,Yes,good benefits
408,Yes,inside sales
409,Yes,dell
410,Yes,worked years
411,Yes,job review
412,Yes,chat tech
413,Yes,senior design analyst
414,Yes,support
415,Yes,management
416,No,nothing special management confused mindset
417,Yes,helpdesk
418,No,want cog machine
419,Yes,program manager
420,Yes,software dev analyst
421,Yes,good benefits
422,Yes,services
423,Yes,enterprise tech support analyst
424,Yes,enterprise tech support analyst
425,Yes,analyst
426,Yes,analyst
427,Yes,great company
428,Yes,program manager
429,No,product line manager
430,Yes,good ok taste
431,Yes,business systems analyst
432,Yes,sales support sr analyst
433,Yes,project manager
434,Yes,great developing young talent
435,Yes,good place work life balance
436,Yes,software development
437,Yes,project manager
438,Yes,excellent company
439,Yes,good
440,Yes,pretty good large corporation
441,Yes,aes view dell
442,Yes,good work life balance financial advisor
443,Yes,good transition job
444,Yes,dell services
445,Yes,web designer
446,Yes,software development consultant
447,Yes,opportunity amidst chaos
448,Yes,challenging business pays ok
449,Yes,great place work
450,Yes,good company
451,Yes,solid company
452,Yes,global cloud services
453,Yes,oracle database administration
454,Yes,good exprience
455,Yes,good bad
456,Yes,account executive
457,Yes,awesome place work
458,Yes,dell account executive
459,Yes,okay place
460,Yes,software engineering intern
461,Yes,great company work
462,Yes,strong opportunities growth
463,Yes,dell
464,No,health insurance joke
465,Yes,love working dell easy
466,Yes,dell dude
467,Yes,dell
468,Yes,dell
469,No,bonuses worth sometimes hard get
470,Yes,data entry
471,Yes,senior advisor
472,No,stay away
473,Yes,dell
474,Yes,dell review
475,Yes,network engineer
476,Yes,channel account manager
477,Yes,content strategist
478,Yes,loved tech
479,Yes,good place
480,Yes,operations technical consultant
481,Yes,channel executive
482,No,consumer marketing needs focus
483,Yes,finance
484,Yes,good company
485,Yes,great experience
486,Yes,eight years dell
487,Yes,digital strategist
488,Yes,average experience
489,Yes,escalations engineer
490,No,sucked working
491,Yes,staff engineer
492,Yes,sales representative
493,Yes,sr pro technical support analyist
494,Yes,career development
495,Yes,good bad
496,Yes,sales rep iv
497,Yes,developer
498,No,cost conscious quick layoff costs get high
499,Yes,marketing manager
500,Yes,ok great
501,Yes,solutions consultant
502,Yes,good company
503,Yes,senior finance analyst
504,Yes,dell rating
505,Yes,dell inc
506,Yes,contractor dell
507,Yes,great place work
508,Yes,fast pace culture benefits leadership top opportunities
509,Yes,fast pace culture benefits leadership top opportunities
510,Yes,nice people low organizational efficiency
511,Yes,manager dell software division
512,Yes,project management senior analyst
513,Yes,services manager
514,Yes,dell
515,Yes,general
516,Yes,business systems analyst
517,Yes,inside sales representative iii
518,Yes,good friendly work environment
519,Yes,sr marketing manager
520,Yes,healthcare services
521,Yes,program manager
522,Yes,excellent company work
523,Yes,project management sr advisor
524,Yes,great worklife balance benefits great people lots broken processes
525,Yes,sales
526,Yes,gsm
527,Yes,dell
528,Yes,application development advisor
529,Yes,salary
530,Yes,technical support engineer
531,Yes,technical support engineer
532,Yes,sales consultant
533,Yes,great job
534,Yes,corporate america
535,Yes,ehh
536,Yes,eh
537,Yes,good place learn company big  impact
538,Yes,engineer
539,Yes,engineer
540,Yes,review
541,Yes,great company embraces diversity
542,Yes,powerhouse
543,Yes,global program manager
544,Yes,dell services
545,Yes,huge company trying become nimble going private
546,Yes,lead av techniciain
547,Yes,sr enterprise technical analyst
548,Yes,best experience far
549,Yes,dell employee
550,Yes,acquisition account manager med business division
551,Yes,principal software engineer
552,Yes,director marketing
553,Yes,director services
554,Yes,good challenging work meets notsogood challenging workermanager communication issues
555,Yes,good learning experience stressful
556,Yes,challenging work
557,Yes,great place work
558,Yes,high performance computing high performance team
559,Yes,good company private direction
560,Yes,great people
561,Yes,software dev sr analyst
562,Yes,great company work
563,Yes,company provides good work opportunities easy move across horizontals enhance skills
564,Yes,portfolio manager dell financial services
565,Yes,good
566,No,bad stagnant
567,Yes,great longterm employer
568,Yes,good place
569,Yes,principal engineer
570,No,workforce reduction cuts
571,Yes,product marketing sr advisor
572,Yes,qa lead
573,Yes,good experience good benefits
574,Yes,qa engineer
575,No,dell went private restructuring
576,Yes,bdr dell software
577,No,left
578,Yes,overall great company work
579,Yes,bad better
580,Yes,results driven relationship oriented culture
581,Yes,good people
582,Yes,interesting place work
583,Yes,good place learn work
584,Yes,good place learn work
585,Yes,great company start
586,Yes,good place work
587,Yes,financial analyst
588,Yes,quality control sr associate
589,Yes,hard work occassional good pay autonomy
590,Yes,nice company
591,No,decent company nothing stands strong recognizable name resume
592,Yes,bsa senior advisor
593,Yes,k
594,Yes,dell services
595,Yes,good
596,Yes,great possibilities willing work hard
597,Yes,worked team highly skilled engineers direct connection customer
598,Yes,channel sales
599,Yes,good lasted laid
600,Yes,good company work
601,No,doesnt believe workers training
602,Yes,felt  just number
603,Yes,great
604,Yes,good environment work
605,Yes,good
606,No,worth giving shot
607,Yes,stressful
608,Yes,great place work
609,No,average compensation loose management convoluted legacy code
610,Yes,cts mohali
611,No,old boy network
612,Yes,god
613,Yes,used great place work
614,Yes,flexible work hours tough get promotionadvance career
615,Yes,great learning experience
616,Yes,good place work room move around grow
617,No,mixed bag great benefits good pay ultimately another brick wall
618,Yes,dell
619,No,market salaries austin area grueling workload
620,No,disappointing
621,No,definitely number individual
622,Yes,cool
623,Yes,satisfied
624,Yes,good company steady work
625,Yes,great company
626,No,dell ok place work part boys club look elsewhere
627,Yes,dell great culture fantastic leadership opportunity advancement
628,Yes,great place work
629,Yes,overall great company work learn grow
630,Yes,great place work
631,Yes,lots good things dell
632,Yes,dell
633,Yes,great place develop
634,Yes,decent
635,Yes,great company work
636,Yes,good benefits
637,No,average
638,Yes,ok place work
639,No,ok firtst became unbearable last years
640,Yes,challenging driven excellence
641,Yes,working top talent
642,No,thumbs
643,Yes,tech side sales loved fair management good worklife balance excellent trainingteamwork
644,Yes,great experience
645,No,moved cheese
646,Yes,sr program manager
647,Yes,analyst
648,Yes,good place work
649,No,everythings thrown together last minute
650,Yes,company
651,Yes,sales manager
652,Yes,dell
653,Yes,remote medical claims ar rep
654,Yes,area manager
655,No,long hours difficult move sales
656,Yes,dell services focused employees upper management involved  meetings enough focus work
657,No,short lived whole department got laid ten months hired
658,Yes,great company big
659,Yes,flexible work environment
660,Yes,pretty good
661,Yes,technical sales rep
662,Yes,great place work
663,Yes,great go back
664,Yes,enterprise servers
665,Yes,great go back
666,Yes,goes
667,No,fun first terrible last years
668,No,good bad ugly dell
669,Yes,product management dell
670,Yes,despite current turbulence pay benefits good
671,Yes,great environment
672,Yes,love job love dell lets work home
673,No,progressively went downhill
674,No,dells best days past
675,Yes,learned lot people
676,Yes,good
677,Yes,great worklife balance terrible management
678,Yes,great company work one time
679,Yes,great worklife balance terrible management
680,Yes,good starting job
681,Yes,ok
682,Yes,great parts act one company
683,Yes,service product group program manager
684,Yes,market driven less technical focus company
685,Yes,youre getting dell
686,Yes,decent job
687,Yes,company review
688,No,lethargic directionless making incremental progress
689,Yes,satisfactory employer
690,Yes,drinking fire hose going guardrail guardrail
691,Yes,marketing manager
692,Yes,great company career advancement however challenging industry company makes frequent changes
693,Yes,sales exec
694,Yes,nd time around much better
695,Yes,good worklife balance team
696,Yes,hardcore sales experience inside mid level management leaves much desired
697,Yes,bloated management good people worker bee level
698,Yes,good job career
699,Yes,good place work
700,No,dell people  move mountains dell leaders including michael lacking strategic vision pity
701,No,big company  get lost shuffle
702,No,big company  get lost shuffle
703,Yes,great first corporate job
704,No,based organization instead engineering one
705,Yes,title
706,Yes,working
707,Yes,great job company needs direction
708,Yes,experience rewarding helped start career
709,Yes,undergoing change
710,No,world class greedy glutton lost recipe success mort left
711,Yes,great company sporadic leadership
712,Yes,good
713,Yes,guard rail guardrail navigation
714,Yes,job
715,Yes,pretty good
716,Yes,sales engineer
717,Yes,program manager dell
718,Yes,lots flexibility
719,Yes,good
720,Yes,corporate america
721,Yes,great place just pick best manager  possibly work
722,Yes,mixed
723,No,lay offs
724,Yes,good
725,Yes,transformation uncertain
726,Yes,lots opportunity good people willing create destiny
727,No,career guardrail grind
728,Yes,fair
729,Yes,overall good company
730,Yes,moving speed dell
731,Yes,dell
732,Yes,company review
733,Yes,great people bad company
734,Yes,general manager
735,Yes,great place work
736,Yes,project manager
737,Yes,best place work
738,Yes,good company work
739,Yes,sr engineer
740,Yes,great place learn fundamentals management leadership corporate america
741,No,need job means take
742,Yes,software enginner
743,Yes,need invigorating
744,Yes,program manager
745,Yes,great place work
746,Yes,good salary works hard
747,No,high pressure grinder definitely engaging
748,Yes,improve financial stability
749,Yes,company transformation still feels far away
750,Yes,great work enviornment people
751,Yes,great place work salary better
752,Yes,feedback
753,Yes,contractor experience dell services
754,No,recommend
755,Yes,good
756,No,will work hours week pay
757,Yes,happy
758,No,company  chew spit better strong person climb ladder goal
759,No,cut costs
760,Yes,good freshers ok pay promotions
761,Yes,good place work
762,No,turn burn sales environment
763,Yes,senior solution consultant
764,Yes,great place work
765,Yes,dont plan carrer
766,No,way better t used
767,No,actions speak louder words
768,No,going downhill fast dell healthcare
769,Yes,decent job
770,Yes,dell good company unique culture offers  career opportunities
771,Yes,happened dell
772,Yes,reorgs
773,No,dont say something stupid
774,No,dont say something stupid
775,Yes,perot systems bougt dell immense uncertainty stress change management staff
776,No,good youd better meet metrics
777,Yes,good leaning experience corporate america
778,No,mediocre
779,No,horrible guess right word
780,Yes,fast paced project oriented tight deadlines less resources cross functional department work
781,No,started well went downhill
782,No,dynamic challenging focus always profits often expense employees customers
783,Yes,stressful
784,Yes,depends client work manager
785,Yes,just ok
786,Yes,good place work everyone
787,Yes,dell excellent place work
788,Yes,mixed good place work couple years
789,Yes,interestingexhausting
790,Yes,good exceed expectations
791,Yes,great people meeting potential
792,Yes,good money okc
793,No,case study great company becomes mediocre growth
794,Yes,overall great value environment
795,Yes,training available contractors
796,Yes,solid opportunity need better future direction
797,Yes,dell commodities business aggressive manufacturingminded management place creative folks
798,Yes,decent compensation works hard
799,Yes,good
800,Yes,far good
801,No,rub elbows politic folks clout youll get need go good ol boys
802,Yes,ok
803,No,will never get meaningful raise
804,Yes,better beginning overall generally good hope theyll turn around
805,Yes,busy life dell
806,No,last legs go else future
807,Yes,fair company work
808,Yes,good compensation technology
809,Yes,scope growth ready take initiative
810,No,mixed bag
811,Yes,enjoyed time dell
812,Yes,company finding way heading toward consulting integrated systems analysis simulation
813,Yes,great place work life
814,Yes,frustrating times good people opportunity  difference
815,No,long hours evening calls good benefitsmultiply project time
816,Yes,job career software commodity
817,Yes,good stint dell decent compensation chance promotion technical environment
818,Yes,dell
819,Yes,great place stability work low paying possibilities advancement
820,Yes,great place startand
821,No,ok much better
822,Yes,great pay great benefits lots add
823,Yes,gruelling educational certainly pay dues pay competitive
824,Yes,advancement rough
825,Yes,everyone
826,No,dell transitioning become software company way go
827,Yes,dell account manager
828,Yes,transition
829,Yes,good opportunity limitations
830,Yes,just ok
831,Yes,good company
832,Yes,great place
833,Yes,must find right area satisfied
834,Yes,dba dell
835,Yes,sales dell inside mall
836,Yes,good experience slow growth
837,Yes,vertical barrier
838,Yes,good place work even better place friend high places
839,Yes,alright place
840,No,dell services changed way associates compensated culture acquired perot accounts
841,Yes,bad company
842,No,dell perot consuting
843,Yes,good challenging work poor work culture
844,Yes,decent place work learned lot career growth flatlined quickly
845,Yes,good place work oklahoma city limited advancement opportunities site
846,Yes,future us developers
847,Yes,company litter room software developers
848,Yes,ever changing environment
849,Yes,career growth opportunity
850,No,employees less important
851,Yes,five year dell marketing veteran
852,No,dell heaven dell hell
853,Yes,good experience great longterm career
854,Yes,dell engineers
855,No,good money stagnant growth
856,Yes,dell perot systems
857,Yes,senior manager procurement
858,Yes,dell average place work
859,Yes,put effort get return
860,No,great people work highly tactical aimless vision less executive leadership
861,No,much potential lost
862,Yes,great company individual contributor talent become one day
863,Yes,ok
864,Yes,dell
865,No,used great years back
866,Yes,changes still good place work
867,No,welcome office space
868,Yes,nice work
869,Yes,lots opportunity
870,No,good ol boys unite
871,Yes,work ground
872,No,dont judge book cover
873,No,strategic planning consultant
874,Yes,program management product engineering
875,No,good money poor management
876,No,fairly mediocre
877,Yes,dell translates dealing ambiguity
878,No,works ground steps grave
879,Yes,good company great benefits sporadic direction
880,Yes,good place update resume thats
881,Yes,slow advancement hr career progress limited
882,Yes,good money room serious advancement
883,Yes,great people fun job management disconnected
884,No,respect employees
885,Yes,good career development projects tend short term
886,No,capitalism doesnt necessarily mean opportunity visa versa
887,Yes,good work life balance lacking professional upside
888,No,work life balance joke even allowed smoke
889,Yes,fast paced hard work
890,Yes,great company tough work
891,Yes,love dell getting harder harder
892,Yes,good company
893,No,welcome machine
894,Yes,things considered good place work
895,Yes,looking dell
896,No,dell will outsource job
897,Yes,neutral overall
898,Yes,great little advancement others
899,Yes,bad place
900,Yes,good pay perform well
901,No,michael trying  changes dell drive new company problem everyone thinks old school
902,No,dell good place work dont get reduced
903,No,commission plain aint used
904,Yes,great company wasand still
905,Yes,michael outstanding job tacticalnow time larger vision
906,No,help ive fallen cant get
907,No,good training ground hard commit long term due lack promotions mixed company performance
908,No,wish wasnt case youre helping
909,Yes,great family people much new hires
910,Yes,major flaws dell
911,No,looking ramp
912,Yes,toad
913,Yes,dell feedback
914,No,michael dell needs start walking departments ask everyone questions
915,Yes,changing landscape
916,No,great pay abusive environment
917,No,looking keep sanity stay away dell
918,Yes,never great engineers hardly even ok
919,No,great company now trying find way  senior leaders without clear decision maker
920,No,used much better
921,Yes,potential comeback
922,Yes,lots opportunities lots bureaucracy
923,Yes,dell still good place
924,No,jury still
925,Yes,content improvements made
926,Yes,good company work gain experience upward career promotion limited
927,No,good compjust get layoffs move sompany forward
928,No,okbut much better
929,Yes,great company build skills career comes price
930,Yes,good place young ambitious
931,Yes,large company syndrome king servants
932,No,unreasonable quotas workloads
933,Yes,reward  difference look
934,No,youre might  people
935,Yes,generally satisfied
936,No,dell welloiled machine
937,Yes,ups downs
938,Yes,best learning opportunities around
939,No,worse
940,Yes,get back basics
941,Yes,id still work hadnt laid everyone
942,No,uh oh
943,No,mixed bag much fun years ago
944,No,go  money get realize selling soul
945,Yes,dell good brand manager product manager
946,Yes,working dell well worth benefits pay performance
947,Yes,dell chance great might trip junk
948,Yes,fine place work best
949,Yes,work hard time play hard
950,No,disconnected management
951,Yes,lack opportunities dell
952,Yes,good place ambitious people
953,Yes,lack opportunities dell
954,Yes,overall good place work
955,Yes,great place work holics willing takes get ahead
956,Yes,dellemc
957,Yes,software engineer
958,Yes,software developer senior associate
959,Yes,awesome place work
960,Yes,procurementoperations
961,Yes,audit
962,Yes,ok job
963,Yes,good company work
964,Yes,good working environment
965,Yes,company
966,Yes,good place network work
967,Yes,senior analyst
968,Yes,testing engineering analyst
969,Yes,okay
970,Yes,company good depends project
971,Yes,dell interview
972,Yes,good
973,Yes,total evaluation
974,Yes,great company
975,Yes,great company work
976,Yes,review
977,Yes,dell
978,Yes,emc review
979,Yes,good work enviroment
980,Yes,director
981,Yes,good
982,Yes,experience working dell services
983,Yes,great company legacy emc
984,Yes,great company work
985,Yes,good company
986,Yes,working emc
987,Yes,great team fluidfs
988,Yes,nice
989,Yes,cyber analyst dell emc
990,Yes,ntt
991,Yes,overall feedback
992,Yes,good
993,Yes,technical lead
994,Yes,good
995,Yes,good company solutions transformation underway
996,Yes,sr analyst
997,Yes,senior management
998,Yes,business ops representative
999,Yes,business analyst
1000,Yes,pam
1001,Yes,good folks bad corporate structure
1002,Yes,great company great site
1003,Yes,best company work
1004,Yes,advisor technical education
1005,Yes,good
1006,Yes,benefits
1007,Yes,analyst
1008,Yes,senior analyst
1009,Yes,best place learn
1010,Yes,thing changing
1011,Yes,good company
1012,Yes,awesome company
1013,Yes,good company work
1014,Yes,customer support executive
1015,No,getting involved emc cork office stay away
1016,Yes,great place work
1017,Yes,good
1018,Yes,good place work
1019,Yes,years dell
1020,Yes,troubled internal systems aging business strategy
1021,Yes,sales led culture
1022,Yes,program manager
1023,Yes,qa engineer
1024,Yes,great people
1025,Yes,dell services
1026,Yes,general feedback
1027,Yes,good company
1028,Yes,consultant
1029,Yes,flexible
1030,Yes,bad
1031,Yes,employee satisfaction
1032,Yes,good place work
1033,Yes,large evolving company lots change
1034,Yes,dell
1035,Yes,work life balance
1036,Yes,dell
1037,Yes,sales ops review
1038,Yes,associate director
1039,Yes,software enigneer
1040,Yes,good place work want settle
1041,Yes,review
1042,Yes,excellent
1043,Yes,great organization work
1044,Yes,tech support
1045,Yes,hr
1046,No,call center
1047,Yes,sr software analyst
1048,Yes,sales
1049,Yes,worked years dell
1050,Yes,inside sales
1051,Yes,support manager
1052,Yes,company overall experience
1053,Yes,good
1054,Yes,since dell took vce
1055,Yes,dell review
1056,Yes,vmware delivery specialist
1057,Yes,dell associate
1058,Yes,good place work
1059,Yes,technical rep
1060,Yes,project manager
1061,Yes,good place work
1062,Yes,sales manager
1063,Yes,great
1064,Yes,project manager
1065,No,work couple years run
1066,Yes,great place work
1067,Yes,sap practice worth
1068,Yes,wyse
1069,Yes,good start fresher
1070,Yes,good place work
1071,Yes,great people lacks software strategy
1072,Yes,great people lacks software strategy
1073,No,jobs boys
1074,No,dont really want fill review
1075,Yes,interview
1076,Yes,staff software develop engnieer
1077,Yes,good
1078,Yes,professional recruitment org
1079,Yes,engineer
1080,Yes,dell
1081,Yes,director
1082,Yes,good company
1083,Yes,nice place work
1084,Yes,software engineer
1085,Yes,job review
1086,Yes,good organization
1087,Yes,future growth
1088,Yes,good place work
1089,Yes,organization culture
1090,Yes,great place people ethos
1091,Yes,solution architect review
1092,Yes,good company work
1093,Yes,svc dev senior assoc
1094,Yes,enterprise server senior analyst
1095,No,uat tester
1096,No,false salary promisesno variable allowance hike scrap projects
1097,Yes,truly dynamic company
1098,Yes,dell review
1099,Yes,good benefits
1100,Yes,internship
1101,Yes,gcm
1102,No,dont take care employee
1103,Yes,delivery specialist
1104,Yes,sr advisor
1105,Yes,great far
1106,Yes,nice company
1107,Yes,great company
1108,Yes,dell
1109,Yes,good place work
1110,Yes,associate principal engineer
1111,Yes,emc employee acquired dell
1112,Yes,network design advisor
1113,Yes,serious work environment
1114,Yes,solution consultant
1115,Yes,good place work exposure
1116,Yes,great emc emc
1117,Yes,review working emc
1118,Yes,heading youth gaming cateogary india consumer business
1119,Yes,review
1120,Yes,salary
1121,Yes,delivery specialist
1122,Yes,practice consultant
1123,Yes,product specialist
1124,Yes,competitive place work
1125,Yes,experience dell
1126,Yes,last interview
