company,date,title,status,location,recommend,outlook,ceo,pros,cons,adviceManag,id,rating,dateCollect
"
iFood
","
Há aproximadamente 2 meses
","
Legal!
",Coordenador de Planejamento Financeiro,"
São Paulo, SP
","Conselhos para presidência: Clareza nos rumos da empresa, acolher os times e deixar claro o papel de cada um. Mais eficiência nos processos de times suporte e adequar pagamento",NI,NI,"Prós: Muitos desafios, muito crescimento, ambiente muito legal. Oportunidade criação e participação em diversos projetos, basta querer que será envolvido em muita coisa.","Contras: Bagunça organizacional. Estrutura muda o tempo inteiro, causando estresse nos times no sentido de qual direcionamento será seguido. Muita intervenção de investidores que não conhecem tanto do negócio mas ficam dando pitaco",NI,596228,3,2018-01-28
"
iFood
","
Há 2 meses
","
O iFood é único. Apesar dos pesares é o melhor lugar que já trabalhei!
",Analista de Infraestrutura Pleno,"
São Paulo, SP
","Conselhos para presidência: A criação de um plano de carreira é importante para o crescimento profissional de qualquer pessoa. O discurso de não existir um plano é muito difícil de interpretar, apesar de a idéia ser ótima.",NI,NI,"Prós: Clima incrível, pessoas dedicadas, estímulo ao empreendedorismo, benefícios locais ótimos, metas agressivas e objetivas. Infraestrutura competente.","Contras: O iFood acerta no mais difícil e erra no mais fácil. O ambiente é incrível, tenho liberdade de horário e para desenvolver meu trabalho mas não sei onde chegar com tudo isso. Me sinto prezo à minha função na maioria das vezes e me sinto sobrecarregado todo o tempo. Fora isso, creio que tudo na empresa seja positivo, desde o processo seletivo até as festas!",NI,592099,4,2018-01-28
"
iFood
","
Há 3 meses
","
Empresa muito boa para se trabalhar
",Assistente Operacional,"
Rio de Janeiro, RJ
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Ambiente muito gostoso para se trabalhar, ótimos benefícios, ótimas festas, salário razoável, ambiente cooperativo desafiador, empresa com espirito jovem","Contras: Carga horária puxada, falha nas comunicações entre setores, favorecimento de algumas pessoas, espaço físico muito pequeno para uma empresa tão grande.",NI,582606,5,2018-01-28
"
iFood
","
Há 3 meses
","
Boa
",Analista,"
Jundiaí, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Empresa em amplo crescimento, ambiente agradável, pessoas bem sintonizadas quanto aos valores da Empresa. Possui um local de trabalho aconchegante aos funcionarios",Contras: Diferenças salariais entre membros da equipe e pouca oportunidade de crescimento. As pessoas normalmente não tem um plano de carreira. Salário abaixo do mercado,NI,579005,4,2018-01-28
"
iFood
","
Há 3 meses
","
Uma grande empresa com DNA de Startup
","Machine Learning AnalystEx-funcionário, saiu em 2017","
Campinas, SP
",Conselhos para presidência: A comunicação interna ainda é falha e há poucos investimentos em treinamento dos seus funcionários.,NI,NI,"Prós: O iFood é uma empresa que foca em seus funcionários, bem-estar e aprendizado contínuo, além da flexibilidade de horário e de auto-gerenciamento. O ambiente de trabalho é um mini Google, e a alta capacidade técnica dos seus funcionários é um plus para quem busca crescer na carreira! Por fim, a cultura força sempre a buscar inovação, simplicidade, autonomia e aprendizado. Comemore sempre suas conquistas no iFood.","Contras: Talvez o único ponto negativo é o rítmo frenético e de como as demandas são cobradas. O lema é: Uma vez atingida a meta, triplique-a sempre. Então sempre vai demandar muito tempo pessoal, o que pode, uma vez ou outra, onerar outros pontos da sua vida.",NI,578841,5,2018-01-28
"
iFood
","
Há 3 meses
","
Pode mellhorar
",Funcionário,"
São Paulo, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: A empresa preza pela qualidade de vida do funcionário, escritório bem equipado, flexibilidade de horários, agilidade na execução de projetos","Contras: Ainda falta um plano de carreira para cada área, falta de comunicação interna, às vezes uma informação pertinente ao próprio trabalho não é repassada.",NI,578529,3,2018-01-28
"
iFood
","
Há 3 meses
","
O melhor lugar onde trabalhei
",Diretor,"
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Todos estão muito engajados, há um senso de pertencimento e equipe muito grande, a liderança é muito acessível, há muita oportunidade de crescimento, os escritórios são sensacionais e a gente pode ousar e inovar o tempo todo sem medo de errar.","Contras: Alguns processos ainda precisam ser melhorados e outros ainda estão para serem definidos. Outro ponto é que apesar de o escritório de São Paulo ser muito legal, claramente já não comporta mais a quantidade de funcionários.",NI,575386,5,2018-01-28
"
iFood
","
Há 3 meses
","
Satisfeito
",Estagiário,"
Campinas, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Ambiente, liberdade de em tomar decisões, equipe unida, vontade de crescer, eventos internos, parcerias, localização, integração entre equipes","Contras: Falhas na comunicação. Muita coisa é deixava de ser informada mesmo com a melhoria do plano de comunicação. Apesar de pontos da empresa começarem a ser melhores informados, as tomadas de decisão da liderança, ainda são falhas!",NI,572365,4,2018-01-28
"
iFood
","
Há 3 meses
","
Boa mais até certo ponto
",Funcionário,"
Jundiaí, SP
","Conselhos para presidência: Continue sendo o ótimo C.O que você é, mais tome cuidado com alguns lideres, que não são líder de verdade",NI,NI,"Prós: Ambiente muito gostoso, ótimos benefícios diários, poucas pessoas boas, ótimas festas(já foi melhor?, salário razoável, ambiente cooperativo desafiador","Contras: Falha de comunicação, ou comunicação cruzada ou seja muita fofoca, favorecimento em contratação, processos falhos, falta de oportunidade interna ou não reconhecimento",NI,569251,3,2018-01-28
"
iFood
","
Há 3 meses
","
IFood I Love
",Supervisor Comercial,"
Jundiaí, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Oportunidade de crescimento. (não importa quanto tempo tenha de casa, se tiver vontade de crescer, você cresce). Reconhecimento: você é premiado, e parabenizado pelos feitos. Clima: São todos alinhados com os valores da empresa. E vira tudo uma grande familia.",Contras: Falta de comunicação muitas vezes atrapalha o dia a dia. Falta de estacionamento para os funcionários (isso é um pé no saco). Espaço físico não atende ao crescimento da empresa.,NI,569247,5,2018-01-28
"
iFood
","
Há 3 meses
","
Ótimo
",Analista de Experiência do Cliente,"
Jundiaí, SP
",Conselhos para presidência: Equilibrando a grade de horários de trabalho.,NI,NI,"Prós: Tudo é ótimo, ambiente, pessoas, chefes e a infraestrutura disponibilizada pela empresa e excelente.","Contras: Infelizmente a carga horária de trabalho não é muito boa, porém a empresa trabalha para melhorar neste aspecto.",NI,569221,5,2018-01-28
"
iFood
","
Há 3 meses
","
Gente boa e na pegada para trazer tecnologia de ponta para o delivery brasileiro!
",Funcionário,"
São Paulo, SP
","Conselhos para presidência: Pontos negativos já estão mapeados e em planos de ação em execução! A questão já está no """"quando"""", já atingimos o """"como""""! =D",NI,NI,"Prós: - Excelentes pessoas (técnica e culturalmente) - Ótimo ambiente para trabalhar e conviver - oportunidades entusiasmantes de crescimento e desenvolvimento - Investimentos para trazer o que há de mais sofisticado tecnologicamente, e faça sentido para nosso mercado","Contras: - Empresa crescendo muito rápido e processos de comunicação e planos de carreira ainda em desenvolvimento (não indicado para quem gosta de tudo certinho e """"preto no branco"""") - cultura de metas ainda focando muito no curto prazo. Necessário mais maturidade para a definição de metas sustentáveis de forma perene.",NI,569217,5,2018-01-28
"
iFood
","
Há 3 meses
","
Indico!!!
",Inside Sales,"
Jundiaí, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Empresa fantastica que se importa com os funcionarios. Ambiente ótimo, colegas que se ajudam, grande oportunidade de crescimento acompanhando o crescimento da empresa.","Contras: Acredito que pelo crescimento rápido da empresa, pode melhorar nos processos para conseguirmos trabalhar de forma mais rapida e eficiente. E tambem na comunicação entre departamentos.",NI,565501,4,2018-01-28
"
iFood
","
Há 3 meses
","
Ouvir o cliente interno
","Analista de Contas a Receber PlenoEx-funcionário, saiu em 2017","
Jundiaí, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Empresa jovem, não está ligada a códigos de vestimentas, líderes e gestão sempre abertos a feedback e novas idéias. Happy hour e confraternizações da melhor qualidade",Contras: Não enxergam que alguns setores que são o coração da empresa estão desvalorizados e não visam melhorias. Deviam trabalhar melhor o psicológico dos colaboradores e ouvi-los a respeito de como se sentem ao atender os clientes,NI,561481,3,2018-01-28
"
iFood
","
Há 3 meses
","
Empresa flexível mas com pouca oportunidade de crescimento
",Analista de Vendas Sênior,"
São Paulo, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Flexibilidade de horário. Possibilidade de avaliar os gestores o que torna o processo de feedback muito mais justo, não tenho conhecimento de muitas empresas que fazem o mesmo.","Contras: Falta de oportunidade de promoção para funcionários mais antigos, isso por si só não é um problema, a empresa tem que contratar os melhores do mercado para crescer, mas acredito que falte verdade nos feedbacks sobre a real chance dentro da empresa.",NI,559909,3,2018-01-28
"
iFood
","
Há 4 meses
","
É demais!!!!
",Analista de Vendas Sênior,"
São Paulo, SP
",NI,NI,NI,"Prós: A cultura é incrível, o sentimento de união e de engajamento de todos da empresa é contagiante!!! Pagamentos sempre em dia, beneficios, ambiente e colegas de trabalho.... tudo muito motivador!!!",Contras: Devido ao crescimento desenfreado da empresa a comunicação entre nós é um pouco falha entre as áreas. Funcionarios que ficam distantes da sede são eventualmente excluidos de alguns eventos menores. :(,NI,553873,5,2018-01-28
"
iFood
","
Há 4 meses
","
Boa empresa.
",Funcionário,"
Jundiaí, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Empresa jovem, moderna, cheia de atitudes e um tanto quanto descolada. Aberta sempre a bate papo, comunicação agradável, salários bacanas e ótimos benefícios.",Contras: Metas não tão claras. ....,NI,540333,5,2018-01-28
"
iFood
","
Há 4 meses
","
Divertido e só.
","Analista ComercialEx-funcionário, saiu em 2016","
São Paulo, SP
",Conselhos para presidência: Observem os grandes talentos com mais carinho. Todo funcionário tem valor e isso não se mostra apenas com grandes comemorações.,NI,NI,"Prós: Ambiente descontraído, muitas atividades e festas para integrar equipes. Free de comidinhas para o lanche, chá, café, cervejas. Escritórios com vide-game, mesas de jogos, além de muito agradáveis.","Contras: As vezes, as festas parecem servir para confundir se estamos realmente satisfeitos com a empresa. Muito favoritismo (os superiores costuma gostar de funcionários """"puxa-saco""""), além de desvalorização do trabalho de algumas pessoas. Muita cobrança, pouco auxílio para o funcionário chegarem onde querem que ele chegue. Feedbacks esporádicos por tabela e não rotina e costumam prometer mais do que cumprem. Não pagam tão bem.",NI,539477,2,2018-01-28
"
iFood
","
Há 5 meses
","
excelente empresa
",Fotógrafo,"
São Paulo, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: A versatilidade de horarios, pontualidade salarios, possibilidde de fazer sempre novos contatos. Excelente empresa para trabalhar. Recomendo.","Contras: Eu gostaria de ter maior acesso aos fotografos que tambem trabalham na mesma empresa, para trocar experiencias. Eu tambem gostaria de ter um plano de carreir",NI,531102,5,2018-01-28
"
iFood
","
Há 5 meses
","
Muito ruim
","Analista de Experiência do ClienteEx-funcionário, saiu em 2017","
Jundiaí, SP
",Conselhos para presidência: Valorize mais os seus funcionários de atendimento,NI,NI,"Prós: Clima descontraído, pessoas agradáveis, free de bolacha, refrigerante, café, chá, leite com chocolate, suco, tudo a vontade o dia todo, muito bom","Contras: Salário não compensa o estresse, não tem FDS, não tem vida, não tem compreensão, só vive para trabalhar, chefe incompreensível, desgastante e desagradável",NI,529988,2,2018-01-28
"
iFood
","
Há 5 meses
","
Boa empresa para inicio de carreira.
",Funcionário,"
Campinas, SP
",Conselhos para presidência: Reconheçam as pessoas com recompensas de verdade além de festas. Existem muitos profissionais que poderiam brilhar se incentivados e estão presos na falsa cultura horizontal e na falsa promessa de desenvolvimento.,NI,NI,Prós: Empresa que se desenvolve rapidamente e tem bastante recursos para sustentar iniciativas. Inovadora na medida do possível. Ótima relação vida e trabalho.,Contras: Comunicação tanto entre empresa/funcionário quanto entre áreas muito ruim. Falsa cultura horizontal. Péssimo alinhamento entre áreas e entre caminhos para os objetivos.,NI,529535,4,2018-01-28
"
iFood
","
Há 5 meses
","
A melhor escolha que fiz
",Executivo de Vendas Externas,"
Campinas, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Possibilidade de obter boa remuneração via comissão de vendas, liberdade para gerenciar seu dia de trabalho e grande possibilidade de crescimento devido a rápida expansão da empresa.",Contras: Mudanças constantes de processos/informações e as mesmas não chegam na velocidade necessária para todas as pessoas da empresa (principalmente representantes externos).,NI,524637,5,2018-01-28
"
iFood
","
Há 5 meses
","
O iFood é pra quem quer crescer!
",Gerente de Marketing,"
São Paulo, SP
","Conselhos para presidência: O escritório hoje apesar de confortável, já não está mais comportando tantas pessoas.",NI,NI,"Prós: O iFood é o lugar perfeito para quem busca grandes desafios, gosta de metas agressivas e ao mesmo tempo, gosta de trabalhar se sentindo em casa. Os times são altamente engajados com a empresa, com uma grande parte de funcionários atuando com senso de dono e dando o melhor de si.","Contras: O funcionário aqui precisa entender que mudanças fazem parte do processo. Com frequência, mudam-se as metas e projetos prioritários, e as equipes precisam conseguir se adaptar aos novos cenários para continuarem motivados.",NI,521476,5,2018-01-28
"
iFood
","
Há 5 meses
","
Bom lugar para aprender mas não pra seguir carreira
",Desenvolvedor,"
Campinas, SP
","

Recomenda a empresa:


Sim
",NI,NI,Prós: Ambiente descontraído e muito confortável. Pessoas jovens e capacitadas. Times sempre buscando melhorar o produto e a qualidade dos projetos.,"Contras: Salário e benefícios abaixo do mercado, ou abaixo do cobrado em troca. Não há plano de carreira e nem supervisão adequada, logo também fica quase impossível ser reconhecido.",NI,519460,3,2018-01-28
"
iFood
","
Há 5 meses
","
Um bom ambiente para pessoas em inicio de carreira.
",Desenvolvedor Java Pleno,"
Campinas, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: A cultura da empresa é muito boa, te estimula a sempre se aperfeiçoar e tem um ambiente bastante acolhedor. Horários flexíveis e a proximidade dos gestores são pontos muito positivos.",Contras: Falta de comunicação Não há possibilidade de home office Não dão estacionamento Alta rotatividade: Quase ninguém permanece na empresa por mais de 2 anos,NI,519281,4,2018-01-28
"
iFood
","
Há 5 meses
","
Empresa jovem mais com poucas chances
",Comercial,"
São Paulo, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Ambiente e flexibilidade de trabalho. A empresa tem um escritorio perfeito para fugir do estresse de trabalho, a flexibilidade de ser home office é um ponto forte da empresa. acreditam em seus funcionarios","Contras: Demora muito para promover funcionarios. Acaba que os mesmo se desligam da empresa por ter uma oportunidade melhor em outra empresa. poderiam igualar salarios, pessoas com a mesma funçao ganhando até o triplo.",NI,518090,4,2018-01-28
"
iFood
","
Há 5 meses
","
Ame o que faz, e jamais você precisará trabalhar.
",Analista de Vendas Internas,"
Jundiaí, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: O ambiente é muito colaborativo e com uma cultura sensacional. Tudo na empresa é pensado para os colaboradores e com os colaboradores. Ambiente em constante mudança e aprendizado, sendo sempre motivador e desafiador. Todos se ajudam e trilham o caminho juntos para o sucesso e alcance das metas.","Contras: As vezes, devido ao rápido crescimento da empresa, ocorrem alguns ruídos na comunicação. Mas é algo que já foi indicado na pesquisa de clima e a empresa já está melhorando quando a isso.",NI,515286,5,2018-01-28
"
iFood
","
Há 6 meses
","
Um grande desafio
",Desenvolvedor Pleno,"
Campinas, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Excelente ambiente de trabalho, empresa se preocupa muito com seus funcionário no lado pessoal e do lado profissional é um grande desafio com muitas oportunidades.","Contras: A empresa presa pela simplicidade, mas em alguns momentos seria bom ter alguns procedimentos mais documentados, acredito que com o crescimento da empresa isso aconteça naturalmente.",NI,505426,5,2018-01-28
"
iFood
","
Há 6 meses
","
Se você quer crescer e gosta de trabalhar é o lugar certo!
",Analista de Negócios,"
Jundiaí, SP
",Conselhos para presidência: Não é a política da empresa mas ter um plano de carreira faz falta!,NI,NI,"Prós: Você não é só mais um funcionário, te ouvem, você pode ser quem você é, temos muitas oportunidades, o ambiente é ótimo, aprendizado constante.","Contras: Falta de cursos e treinamentos, clareza nos aumentos de salário por mérito, falta de comunicação. Mas acredito que é em decorrência de ser uma empresa jovem e em crescimento!",NI,504356,5,2018-01-28
"
iFood
","
Há 6 meses
","
iFood
",Executivo de Vendas Pleno,"
Curitiba, PR
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Empresa se importa com a vida social e pessoal do funcionário, a cobrança sobre metas é dentro do alcançavel, sem exageros e a possibilidade de crescimento é muito boa.","Contras: No momento não tenho como visualizar pontos negativos, como é uma empresa em franca expansão, a única coisa que pode ser melhorada é o fluxo de informação na empresa para pessoas que trabalham fora da cidade de origem.",NI,496721,5,2018-01-28
"
iFood
","
Há 6 meses
","
Processo Seletivo e Inicio a Vaga
",Desenvolvedor Java,"
Campinas, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: """"Excelente ambiente para desenvolvimento Pessoal"""" A empresa em si busca entender o lado do funcionário para proporcionar para ambos uma boa experiencia, no meu caso fui recrutado para atuar em uma cidade diferente a minha residencia e durante todo o processo de recrutamento a empresa se preocupou com transportes e após o processo também com algumas formas de integrações com os times tanto de campinas quanto de outras cidades. Por parte do time, todos sem exceção são atenciosos e buscam apresentar novas tecnologias para sempre estar inovando ao apresentar soluções","Contras: sou recém chegado na empresa e até o momento nenhum ponto negativo, os times são bem integrados e possuem uma boa comunicação, a empresa tambem possui uma boa localização",NI,493470,5,2018-01-28
"
iFood
","
Há 7 meses
","
Eu amo o ifood
",Executivo de Vendas Pleno,"
São Paulo, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Plano de cargos e salários, ambiente super agradável, perspectivas de crescimento em diversos projetos desenhados pela empresa. Ótima empresa",Contras: Pontos negativos são as dificuldades que vendedores externos de outras cidades tem para receber as informações mais hábeis e de grande necessidade.,NI,485661,4,2018-01-28
"
iFood
","
Há 7 meses
","
Recomendável
",Analista de Recursos Humanos (RH) Pleno,"
São Paulo, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Ambiente, a colaboração e acesso à liderança. Autonomia e dá espaço para desenvolver projetos. Líderes inspiradores oportunidade de crescimento",Contras: Não acho justo o tanto que se faz e pelo que é cobrado pelo quanto que se ganha. Não tenho visibilidade d porque meu salário é avaliado dessa forma pelo nível de projeto que entregamos,NI,473546,2,2018-01-28
"
iFood
","
Há 7 meses
","
Ótima e o futuro será perfeita
",Coordenador,"
São Paulo, SP
","

Recomenda a empresa:


Sim
",NI,NI,Prós: Empresa em rápido crescimento e com muitas oportunidades. Porém sempre procuram gente de fora. Muito autonomia e ótima aceitação de novas estratégias.,Contras: Falta de comunicação interna e de processos bem definidos. Por sem uma empresa nova está se estruturando. Pessoas jovens super qualificadas e com ótimo conhecimento porem baixa capacidade de gestão.,NI,473052,4,2018-01-28
"
iFood
","
Há 8 meses
","
Excelente oportunidade para crescimento profissional
",Funcionário,"
São Paulo, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Ambiente super descontraído, profissionais super dedicados ao negócio, e a ajudar o colega, e esse ambiente contagia, os profissionais novos, acabam entrando na mesma """"onda"""", e o clima da empresa está sempre bom!","Contras: É dificil encontrar pontos negativos, mas uma coisa que poderia ser alterado é o banco de horas, que as vezes parece ser injusto, é complicado comparar meio periodo de um final de semana com meio periodo de um dia da semana, poderia ter pagamento de horas extras, pelo menos a cada 3 meses.",NI,464158,4,2018-01-28
"
iFood
","
Há 9 meses
","
Avaliação construtiva.
",Analista de Vendas Sênior,"
São Paulo, SP
","Conselhos para presidência: Investir mais nos profissionais de gestão da empresa, pois são jovens e com pouca ou nenhuma experiência no mercado.",NI,NI,"Prós: Empresa com grande nome no mercado, com produto fácil de vender. Um bom ambiente de trabalho ( estrutura) e com uma dinâmica muito boa, se torna fácil trabalhar.","Contras: Gestão muito jovem , com pouca ou nenhuma experiencia de mercado, o que acaba dificultando a comunicação com os vendedores em campo que já são profissionais de anos no mercado.",NI,450621,3,2018-01-28
"
iFood
","
Há 9 meses
","
Uma empresa pra quem quer fazer a diferença
",Funcionário,"
","

Recomenda a empresa:


Sim
",NI,NI,Prós: O iFood é uma empresa que dá liberdade e todas as condições para os funcionários desempenharem papéis importantes pro crescimento da empresa.,"Contras: Como o iFood é uma empresa que cresce muito rápido, nem sempre os processos estão 100% alinhados e por isso, alguns problemas de comunicação interna ocorrem.",NI,438989,5,2018-01-28
"
iFood
","
Há 9 meses
","
Ambiente ótimo
",Supervisor,"
Jundiaí, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: Ambiente de trabalho excelente pessoal alegre que gosta de desafios e aprende todo dia. Festas comemorativas, empresa exemplar com pessoas jovens","Contras: Crescimento da empresa se da de forma rápida, porém em alguns momentos desorganizado, o que é esperado de um empresa crescendo como vem crescendo, meta muito agressivas.",NI,438558,5,2018-01-28
"
iFood
","
Há 9 meses
","
Ifood é show!
",Funcionário,"
Jundiaí, SP
","

Recomenda a empresa:


Sim
",NI,NI,"Prós: É uma empresa onde o trabalho em equipe é evidente, o astral é sensacional, ambiente de trabalho agradável, horários flexíveis, pessoas que tem orgulho de onde trabalha, brilho nos olhos a cada conquista! Quanto mais agressiva a meta mais motivados estamos! """"comes e bebes"""" oferecidos diariamente, um local agradável para descanso pós almoço ah e não posso esquecer das festas! Sempre sensacionais!","Contras: Acredito que o único ponto a melhorar seria a comunicação interna, como o crescimento acontece de forma veloz, as vezes a comunicação não é passada na mesma rapidez.",NI,438089,5,2018-01-28
